stratum,level,model,guesser_model,games,length_mean,length_median,length_min,length_sd,loss_rate,length_mean_wins,opponent_mean,opponent_sd,civilian_mean,civilian_sd,rounds,clue_count_mean,clue_count_sd,guesses_mean,guesses_sd,stop_early_rate,n_early_eligible,stop_late_rate,n_late_eligible
method,translate_pipeline,qwen/qwen3.5-9b,qwen/qwen3.5-9b,258,10.372093023255815,11.0,1,5.322399282617636,0.7635658914728682,14.704918032786885,3.5968992248062017,2.3440275288384953,3.143410852713178,2.066683840149402,2676,2.820254110612855,1.233571250014203,1.2552316890881914,0.5110651352502177,0.5352363960749331,1121,0.23,100
count_constraint,free,google/gemini-2.5-flash,google/gemini-2.5-flash,180,7.466666666666667,8.0,1,2.749098379367559,0.2833333333333333,8.627906976744185,2.3333333333333335,1.5995809507108711,2.0444444444444443,1.3611620988942388,1344,1.84375,0.5973305596303888,1.6607142857142858,0.5533931844484353,0.027379400260756193,767,0.17942583732057416,418
count_constraint,free,google/gemini-2.5-flash,meta-llama/llama-3.3-70b-instruct,170,7.2823529411764705,8.0,1,3.5271114443645852,0.5941176470588235,9.318840579710145,3.052941176470588,2.064813027069522,2.7176470588235295,1.7783162351201456,1238,1.9022617124394183,0.6025905187021487,1.7479806138933764,0.7345112880572608,0.0,588,0.9433333333333334,300
count_constraint,free,google/gemini-2.5-flash,openai/gpt-4o-mini,178,6.797752808988764,7.0,1,3.1753989927897486,0.5449438202247191,8.62962962962963,2.848314606741573,1.8939458919690237,2.3707865168539324,1.600720335531956,1210,1.8892561983471075,0.5930116393872282,1.8272727272727274,0.7570457579102416,0.0015772870662460567,634,0.9022988505747126,348
count_constraint,free,google/gemini-2.5-flash,qwen/qwen3.5-9b,176,10.744318181818182,12.0,1,4.642348123945047,0.6079545454545454,13.391304347826088,3.5,2.100340108513041,3.028409090909091,1.7741927009938185,1891,1.9317821258593337,0.5919208683688265,1.2554204124801691,0.4974176386969145,0.48468708388814913,751,0.2540322580645161,248
count_constraint,free,meta-llama/llama-3.3-70b-instruct,google/gemini-2.5-flash,180,8.166666666666666,8.0,1,3.6578529587937822,0.4388888888888889,9.584158415841584,2.7944444444444443,1.8751453492183527,2.4,1.612105046690273,1470,1.8585034013605441,0.7335993064788834,1.5775510204081633,0.5587713739824287,0.04172461752433936,719,0.22250639386189258,391
count_constraint,free,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct,170,7.9,8.0,1,3.5428902051739004,0.6411764705882353,9.540983606557377,3.3941176470588235,2.0156108470309904,2.9529411764705884,1.7228425826426095,1343,1.9404318689501117,0.7551287873478125,1.699180938198064,0.736765547313331,0.0,580,0.9413680781758957,307
count_constraint,free,meta-llama/llama-3.3-70b-instruct,openai/gpt-4o-mini,180,7.85,8.0,1,3.477742477158159,0.5666666666666667,9.653846153846153,3.4055555555555554,1.987944735308141,2.7944444444444443,1.7866582589646247,1413,1.8839348903043172,0.8023360554651449,1.7338995046001415,0.7451192528325118,0.0046801872074883,641,0.8663101604278075,374
count_constraint,free,meta-llama/llama-3.3-70b-instruct,qwen/qwen3.5-9b,179,10.256983240223464,11.0,1,5.388386789786602,0.7206703910614525,14.12,3.4134078212290504,2.277648873054679,2.888268156424581,2.0247976221919615,1836,1.9596949891067539,0.778112517235755,1.2352941176470589,0.47058022112105174,0.5030864197530864,648,0.26506024096385544,249
count_constraint,free,openai/gpt-4o-mini,google/gemini-2.5-flash,175,8.194285714285714,8.0,1,3.138007902485127,0.37714285714285717,9.357798165137615,3.0914285714285716,1.7329417266355536,2.611428571428571,1.7280264852315608,1434,2.2963737796373778,1.0179961789098364,1.6631799163179917,0.6219501439538886,0.06823821339950373,806,0.16455696202531644,237
count_constraint,free,openai/gpt-4o-mini,meta-llama/llama-3.3-70b-instruct,174,7.942528735632184,8.0,1,3.9192907280920384,0.6206896551724138,10.030303030303031,3.4597701149425286,2.199866510407027,3.1264367816091956,1.9131706437652929,1382,2.423299565846599,1.1344674858503687,1.699710564399421,0.7459181145524585,0.0,691,0.9069767441860465,172
count_constraint,free,openai/gpt-4o-mini,openai/gpt-4o-mini,178,7.03932584269663,7.0,1,3.126996283597643,0.5674157303370787,8.779220779220779,2.960674157303371,1.8696576911101275,2.707865168539326,1.6205059347446484,1253,2.46927374301676,1.0843303903571977,1.8284118116520351,0.7791761334185788,0.0013908205841446453,719,0.9030612244897959,196
count_constraint,free,openai/gpt-4o-mini,qwen/qwen3.5-9b,176,10.789772727272727,11.0,1,4.883337027021637,0.6931818181818182,14.074074074074074,3.596590909090909,2.0926510248219388,3.2613636363636362,1.9624725988657024,1899,2.373880989994734,1.004348946153419,1.2711953659820958,0.5067169409337966,0.50187265917603,801,0.2653061224489796,147
